graph,nn,two_opt,greedy,christofides,simulated_annealing,threshold_acceptingchristofides,simulated_annealing,threshold_accepting
a280,0.060979601000000105,19.124429485,0.03373107899999894,1.4138337219999997,0.5711771030000001,,0.5711771030000001,0.3970073989999996
ali535,0.19459371299999972,117.263607771,0.10934120000001712,15.504509762999987,0.9615885830000082,,0.9615885830000082,1.3164610339999854
att48,0.0014760900000112542,0.07695205500002089,0.0022676789999991342,0.07396510899999953,0.07722179099999948,,0.07722179099999948,0.07139394099999663
att532,0.14646933000000217,98.87896937699998,0.06652070699999513,10.724814466999987,0.6424723560000416,,0.6424723560000416,0.6701045910000403
bayg29,0.0011606350000192833,0.01298984000004566,0.0003511549999757335,0.011247395999987475,0.040675357000054646,,0.040675357000054646,0.0423853820000204
bays29,0.00046595599997090176,0.01703935599999795,0.0004759309999826655,0.014566483000010066,0.1426350149999962,,0.1426350149999962,0.06423240200001601
berlin52,0.001741062000007787,0.12305340500000739,0.0008189530000208833,0.03489013000000796,0.06597527299999228,,0.06597527299999228,0.07102315100001988
bier127,0.010997738000014579,1.1041234550000354,0.00424394599997413,0.3531949399999803,0.14620705800001588,,0.14620705800001588,0.14866358099999388
brazil58,0.0018632900000170594,0.12627725999999484,0.0010160049999967669,0.045957490999967376,0.07277156199995716,,0.07277156199995716,0.07360431899996911
brg180,0.02012235399996598,2.9201380430000086,0.007388628000001063,0.21196928500000922,0.20183051300000443,,0.20183051300000443,0.20498744899998655
burma14,0.00011960199998384269,0.0027892449999740165,0.0002711029999886705,0.007253617999992912,0.02446776400000772,,0.02446776400000772,0.024810494000007566
ch130,0.01013360100000682,1.1170961360000433,0.003938106999953561,0.20664897900002188,0.14732278799999676,,0.14732278799999676,0.15854667100001052
ch150,0.01317583999997396,1.949062381000033,0.005221577000042998,0.26501206599999705,0.1737652390000335,,0.1737652390000335,0.16358820900001092
d198,0.024728582000022925,4.12718787,0.00972108199999866,0.7057934640000099,0.22603232699998443,,0.22603232699998443,0.22295151500003385
d493,0.13087820699996655,72.05839035199995,0.054903077999995276,8.994374825000023,0.588970278999966,,0.588970278999966,0.5921548069999858
d657,0.2214179819999913,185.487809039,0.09112545300001784,16.96336783000004,0.8028243219999922,,0.8028243219999922,0.8447313530000429
dantzig42,0.0008794660000148724,0.042311131000019486,0.0005649569999377491,0.028296108000063214,0.06132641600004263,,0.06132641600004263,0.057566880000081255
dsj1000,0.5405433629999834,753.749100376,0.24526921699998638,78.2503072930001,1.4796643019999465,,1.4796643019999465,1.4334618980001324
eil101,0.004990000000134387,0.5070398269999714,0.002827504000151748,0.16378998800018962,0.11861378399999012,,0.11861378399999012,0.11966956799983564
eil51,0.001179882000087673,0.06689597800004776,0.0006841929998699925,0.029294674999846393,0.06353674299998602,,0.06353674299998602,0.06302146899997751
eil76,0.0031807119999029965,0.2159930739999254,0.001581394999902841,0.0747513930000423,0.08892587399986951,,0.08892587399986951,0.09732977099997697
fl417,0.08530895599983523,43.732474407999916,0.03996437999990121,2.535420710999915,0.4876421270000719,,0.4876421270000719,0.4815276490000997
fri26,0.00031974800003808923,0.01016075899997304,0.00038917400001992064,0.012036047000037797,0.04186548200004836,,0.04186548200004836,0.037940043999924455
gil262,0.03697329200008426,9.661781979000125,0.018326378000210752,1.2412598649998472,0.2830264780000107,,0.2830264780000107,0.29054353599985916
gr120,0.007723938000026465,0.9818489320000481,0.0036411759999737114,0.3448229129999163,0.13603517900014594,,0.13603517900014594,0.14007025200021417
gr137,0.01215492900018944,1.3722972300001857,0.004705892999936623,0.21686581099993418,0.14991436900004373,,0.14991436900004373,0.15270588599992152
gr17,0.00032771699989098124,0.00398811700006263,0.00012216300001455238,0.004231097000001682,0.0290013240000917,,0.0290013240000917,0.030742609999833803
gr202,0.023302460999957475,4.7868130950000705,0.011021323000022676,1.2276428570000917,0.21782206600005338,,0.21782206600005338,0.23021638799991706
gr21,0.0005899269999645185,0.007955180999942968,0.0003712669999913487,0.0038017320000562904,0.034243462999938856,,0.034243462999938856,0.030865396999843142
gr229,0.025317945000097097,6.845507876000056,0.015901674999895477,1.2479856300001302,0.25164478299984694,,0.25164478299984694,0.25631459500004894
gr24,0.0014688409999052965,0.008319142000118518,0.00021845300011591462,0.008406485000023167,0.039943756999946345,,0.039943756999946345,0.036234186999990925
