num_nodes,algorithm,file,rows,valid_rows,invalid_rows,mean_score,median_score,std_score,min_score,p25_score,p75_score,p90_score,p95_score,max_score,ci95_score_lower,ci95_score_upper,exact_rows,exact_rate,negative_rows,negative_rate,mean_time,median_time,std_time,min_time,p25_time,p75_time,p90_time,p95_time,max_time,ci95_time_lower,ci95_time_upper,total_time,rank_quality,rank_speed,status
10,nearest_neighbor,nearest_neighbor_tsp10.csv,10000,10000,0,0.105399,0.088842,0.089825,-0.002039,0.030463,0.159439,0.232607,0.277958,0.546388,0.103638,0.107159,1244,0.124400,18,0.001800,0.000019,0.000018,0.000014,0.000017,0.000018,0.000018,0.000019,0.000027,0.001251,0.000019,0.000020,0.193155,8,1,ok
10,greedy,greedy_tsp10.csv,10000,10000,0,0.077508,0.061049,0.073399,-0.002921,0.011381,0.123859,0.181121,0.217949,0.418639,0.076069,0.078946,1842,0.184200,37,0.003700,0.000047,0.000045,0.000100,0.000041,0.000044,0.000046,0.000049,0.000054,0.009994,0.000045,0.000049,0.473237,7,2,ok
10,christofides,christofides_tsp10.csv,10000,10000,0,0.109435,0.095363,0.088538,-0.001991,0.034314,0.170224,0.236803,0.273508,0.514523,0.107700,0.111171,1181,0.118100,21,0.002100,0.000069,0.000067,0.000014,0.000061,0.000064,0.000069,0.000073,0.000083,0.000778,0.000068,0.000069,0.687709,9,3,ok
10,2opt,2opt_tsp10.csv,10000,10000,0,0.006553,0.000000,0.017815,-0.003270,0.000000,0.000000,0.024814,0.046100,0.208449,0.006204,0.006903,7546,0.754600,281,0.028100,0.000091,0.000084,0.000036,0.000047,0.000064,0.000110,0.000139,0.000157,0.000802,0.000090,0.000092,0.909321,5,4,ok
10,3opt,3opt_tsp10.csv,10000,10000,0,0.003246,0.000000,0.012515,-0.003270,0.000000,0.000000,0.005713,0.024625,0.185294,0.003001,0.003491,8484,0.848400,328,0.032800,0.002442,0.002138,0.000847,0.002059,0.002102,0.002209,0.004121,0.004204,0.010358,0.002425,0.002458,24.418549,4,5,ok
10,simulated_annealing,simulated_annealing_tsp10.csv,10000,10000,0,0.000738,0.000000,0.004393,-0.003270,0.000000,0.000000,0.000000,0.001064,0.075284,0.000652,0.000824,9110,0.911000,364,0.036400,0.034742,0.034619,0.000543,0.034071,0.034492,0.034783,0.035144,0.035671,0.048165,0.034731,0.034752,347.415134,1,9,ok
10,threshold_accepting,threshold_accepting_tsp10.csv,10000,10000,0,0.000833,0.000000,0.004814,-0.003270,0.000000,0.000000,0.000000,0.003086,0.096236,0.000738,0.000927,9063,0.906300,361,0.036100,0.032188,0.032114,0.000330,0.031632,0.032009,0.032258,0.032508,0.032759,0.038348,0.032181,0.032194,321.879105,2,8,ok
10,gcn,gcn_tsp10.csv,10000,10000,0,0.006891,0.000000,0.019558,-0.003097,0.000000,0.004020,0.021956,0.039899,0.405445,0.006507,0.007274,6744,0.674400,156,0.015600,0.013362,0.013310,0.001632,0.013239,0.013291,0.013344,0.013430,0.013557,0.175630,0.013330,0.013394,133.622427,6,7,ok
10,transformer,transformer_tsp10.csv,10000,10000,0,0.001229,0.000000,0.006057,-0.003270,0.000000,0.000000,0.001927,0.006864,0.134622,0.001110,0.001348,8473,0.847300,217,0.021700,0.012480,0.012119,0.001528,0.011958,0.012038,0.012309,0.013338,0.014361,0.120695,0.012450,0.012510,124.798473,3,6,ok
