num_nodes,algorithm,file,rows,valid_rows,invalid_rows,mean_score,median_score,std_score,min_score,p25_score,p75_score,p90_score,p95_score,max_score,ci95_score_lower,ci95_score_upper,exact_rows,exact_rate,negative_rows,negative_rate,mean_time,median_time,std_time,min_time,p25_time,p75_time,p90_time,p95_time,max_time,ci95_time_lower,ci95_time_upper,total_time,rank_quality,rank_speed,status
30,nearest_neighbor,nearest_neighbor_tsp30.csv,10000,10000,0,0.207560,0.203535,0.094353,-0.001221,0.137310,0.272140,0.332032,0.370875,0.532938,0.205711,0.209410,8,0.000800,1,0.000100,0.000105,0.000102,0.000014,0.000099,0.000101,0.000105,0.000113,0.000124,0.001120,0.000105,0.000105,1.049435,9,1,ok
30,greedy,greedy_tsp30.csv,10000,10000,0,0.149717,0.145737,0.075750,-0.000561,0.093036,0.200977,0.251904,0.282531,0.431476,0.148233,0.151202,30,0.003000,3,0.000300,0.000251,0.000247,0.000105,0.000230,0.000244,0.000252,0.000266,0.000273,0.010632,0.000249,0.000253,2.510919,7,2,ok
30,christofides,christofides_tsp30.csv,10000,10000,0,0.185249,0.180637,0.081377,0.002390,0.124269,0.239905,0.295238,0.327778,0.501639,0.183654,0.186844,0,0.000000,0,0.000000,0.000326,0.000324,0.000014,0.000305,0.000320,0.000328,0.000334,0.000340,0.000881,0.000325,0.000326,3.256418,8,3,ok
30,2opt,2opt_tsp30.csv,10000,10000,0,0.038906,0.031382,0.035310,-0.002418,0.010365,0.058107,0.087534,0.107059,0.248777,0.038214,0.039598,1035,0.103500,228,0.022800,0.001961,0.001819,0.000872,0.000406,0.001309,0.002458,0.003131,0.003626,0.006967,0.001944,0.001978,19.613487,4,4,ok
30,3opt,3opt_tsp30.csv,10000,10000,0,0.015406,0.003423,0.023517,-0.002640,0.000000,0.023438,0.047311,0.065932,0.189686,0.014945,0.015867,3662,0.366200,812,0.081200,0.556460,0.429855,0.324317,0.207643,0.219030,0.651451,1.052618,1.259106,2.601173,0.550103,0.562816,5564.595597,1,9,ok
30,simulated_annealing,simulated_annealing_tsp30.csv,10000,10000,0,0.050429,0.044673,0.039279,-0.002407,0.019028,0.074849,0.104680,0.123816,0.277525,0.049659,0.051199,697,0.069700,135,0.013500,0.058555,0.058078,0.001039,0.057430,0.057888,0.059045,0.060088,0.060292,0.078262,0.058535,0.058576,585.553452,6,7,ok
30,threshold_accepting,threshold_accepting_tsp30.csv,10000,10000,0,0.038863,0.031920,0.034370,-0.002462,0.011100,0.058084,0.085769,0.104574,0.282564,0.038190,0.039537,980,0.098000,184,0.018400,0.056234,0.055736,0.001145,0.054992,0.055537,0.057003,0.057712,0.057866,0.097014,0.056212,0.056257,562.343113,3,6,ok
30,gcn,gcn_tsp30.csv,10000,10000,0,0.041981,0.027346,0.045040,-0.003017,0.008911,0.060764,0.104110,0.132360,0.349906,0.041098,0.042864,795,0.079500,129,0.012900,0.094482,0.094575,0.001892,0.087331,0.093796,0.095133,0.095602,0.095885,0.252879,0.094445,0.094519,944.816574,5,8,ok
30,transformer,transformer_tsp30.csv,10000,10000,0,0.021107,0.008922,0.030618,-0.001952,0.000650,0.028207,0.061325,0.084698,0.315794,0.020507,0.021707,2014,0.201400,286,0.028600,0.043017,0.042717,0.004316,0.042442,0.042616,0.042992,0.043755,0.044774,0.469264,0.042932,0.043101,430.167567,2,5,ok
