optimal_tour,optimal_tour_length,christofides_tour,christofides_tour_length,score,time
"{1, 5, 11, 2, 4, 18, 12, 19, 15, 9, 16, 3, 6, 14, 20, 13, 17, 7, 8, 10, 1}",4.160736,"{1, 10, 8, 15, 11, 7, 20, 13, 17, 14, 16, 6, 3, 9, 19, 12, 18, 4, 2, 5, 1}",4.892001,0.175754,0.000182
"{1, 19, 13, 18, 8, 14, 10, 6, 9, 5, 3, 17, 7, 4, 16, 12, 15, 11, 20, 2, 1}",3.979102,"{1, 19, 20, 2, 15, 12, 7, 11, 16, 4, 17, 5, 3, 10, 9, 6, 14, 8, 18, 13, 1}",4.488685,0.128065,0.000190
"{1, 13, 2, 14, 10, 17, 19, 4, 16, 9, 5, 3, 12, 6, 11, 20, 18, 15, 7, 8, 1}",4.780822,"{1, 17, 13, 2, 14, 10, 4, 19, 16, 9, 12, 3, 5, 6, 11, 20, 18, 15, 7, 8, 1}",5.194523,0.086533,0.000183
"{1, 11, 9, 16, 7, 15, 3, 18, 17, 12, 4, 8, 2, 5, 6, 20, 13, 14, 19, 10, 1}",4.078830,"{1, 11, 10, 19, 14, 16, 7, 15, 17, 4, 12, 3, 18, 8, 2, 5, 6, 20, 13, 9, 1}",4.500819,0.103458,0.000189
"{1, 16, 20, 18, 4, 12, 19, 14, 17, 13, 6, 5, 8, 7, 2, 11, 9, 10, 15, 3, 1}",4.262625,"{1, 16, 10, 2, 7, 11, 9, 20, 18, 8, 5, 6, 13, 17, 14, 4, 12, 19, 3, 15, 1}",4.600695,0.079310,0.000183
"{1, 14, 19, 5, 8, 18, 17, 9, 16, 20, 10, 6, 13, 15, 7, 3, 11, 12, 2, 4, 1}",3.456365,"{1, 18, 17, 9, 16, 5, 8, 19, 14, 20, 10, 6, 13, 7, 3, 15, 11, 12, 2, 4, 1}",4.289478,0.241037,0.000182
"{1, 15, 6, 19, 2, 13, 12, 7, 4, 9, 14, 5, 20, 8, 10, 18, 17, 11, 16, 3, 1}",3.964363,"{1, 15, 16, 11, 17, 18, 10, 8, 20, 9, 4, 7, 12, 6, 19, 2, 13, 14, 5, 3, 1}",4.348103,0.096797,0.000183
"{1, 17, 9, 10, 5, 18, 3, 13, 6, 19, 16, 8, 12, 7, 14, 11, 20, 15, 4, 2, 1}",4.004752,"{1, 2, 12, 16, 19, 6, 3, 13, 18, 17, 9, 5, 10, 8, 14, 11, 7, 20, 15, 4, 1}",4.860555,0.213697,0.000191
"{1, 15, 3, 11, 16, 7, 20, 12, 19, 10, 8, 5, 6, 13, 2, 4, 17, 18, 9, 14, 1}",3.382039,"{1, 3, 15, 14, 9, 18, 17, 13, 4, 2, 6, 5, 8, 10, 12, 19, 20, 7, 16, 11, 1}",3.687069,0.090191,0.000178
"{1, 11, 19, 16, 18, 6, 14, 9, 13, 5, 12, 15, 3, 17, 4, 7, 20, 8, 10, 2, 1}",3.972566,"{1, 16, 19, 11, 7, 20, 4, 8, 10, 2, 18, 6, 14, 9, 13, 5, 3, 15, 17, 12, 1}",4.909463,0.235842,0.000188
"{1, 4, 14, 12, 2, 10, 16, 6, 13, 18, 3, 17, 9, 11, 20, 8, 19, 5, 7, 15, 1}",4.439022,"{1, 12, 2, 15, 7, 5, 19, 11, 9, 8, 20, 17, 3, 13, 18, 16, 10, 6, 14, 4, 1}",5.182509,0.167489,0.000189
