optimal_tour,optimal_tour_length,threshold_accepting_tour,threshold_accepting_tour_length,score,time
"{1, 8, 19, 7, 11, 4, 13, 20, 10, 5, 15, 9, 18, 3, 6, 12, 14, 2, 16, 17, 1}",3.347795,"{1, 17, 16, 2, 14, 6, 12, 3, 18, 9, 15, 5, 10, 20, 13, 4, 11, 7, 19, 8, 1}",3.347631,-0.000049,0.048043
"{1, 6, 17, 16, 8, 9, 5, 14, 18, 7, 2, 10, 4, 19, 13, 15, 12, 20, 3, 11, 1}",4.131330,"{1, 11, 3, 20, 12, 15, 13, 19, 4, 10, 2, 7, 18, 14, 5, 9, 8, 16, 17, 6, 1}",4.131329,0.000000,0.046890
"{1, 3, 13, 2, 9, 6, 11, 20, 19, 15, 8, 5, 4, 7, 14, 18, 17, 10, 12, 16, 1}",4.468433,"{1, 12, 10, 16, 17, 18, 19, 15, 14, 7, 4, 5, 8, 20, 11, 6, 9, 2, 13, 3, 1}",4.613752,0.032521,0.046273
"{1, 13, 14, 20, 5, 16, 11, 8, 10, 7, 9, 2, 15, 17, 19, 6, 12, 3, 4, 18, 1}",3.863744,"{1, 18, 4, 3, 12, 6, 19, 17, 15, 2, 9, 7, 10, 8, 11, 16, 5, 20, 14, 13, 1}",3.863744,0.000000,0.045447
"{1, 15, 18, 8, 3, 20, 6, 11, 14, 19, 17, 16, 4, 13, 9, 12, 5, 2, 10, 7, 1}",4.121216,"{1, 7, 10, 2, 5, 12, 9, 13, 4, 16, 17, 19, 14, 11, 6, 20, 3, 8, 18, 15, 1}",4.121216,0.000000,0.044574
"{1, 14, 4, 11, 9, 15, 16, 19, 3, 7, 5, 20, 2, 10, 18, 17, 8, 12, 13, 6, 1}",3.855716,"{1, 9, 14, 4, 11, 7, 3, 15, 16, 19, 5, 20, 2, 10, 18, 17, 8, 12, 13, 6, 1}",4.019985,0.042604,0.044140
"{1, 2, 19, 3, 8, 10, 17, 20, 15, 7, 18, 5, 9, 11, 16, 13, 14, 6, 12, 4, 1}",3.965355,"{1, 2, 19, 3, 5, 18, 20, 15, 7, 9, 11, 16, 13, 14, 6, 12, 17, 10, 8, 4, 1}",4.213828,0.062661,0.044116
"{1, 15, 11, 4, 19, 12, 5, 10, 14, 6, 8, 7, 13, 18, 9, 16, 2, 3, 20, 17, 1}",4.155659,"{1, 17, 20, 3, 2, 16, 9, 18, 7, 8, 6, 14, 10, 5, 12, 19, 4, 13, 11, 15, 1}",4.395786,0.057783,0.044081
"{1, 8, 16, 7, 15, 14, 3, 18, 17, 12, 9, 10, 11, 19, 5, 13, 20, 2, 4, 6, 1}",3.670597,"{1, 8, 16, 7, 15, 14, 3, 18, 17, 12, 9, 10, 11, 19, 5, 13, 2, 20, 4, 6, 1}",3.670124,-0.000129,0.044318
"{1, 12, 7, 17, 20, 16, 18, 10, 5, 11, 15, 2, 4, 9, 8, 13, 14, 19, 3, 6, 1}",3.873764,"{1, 17, 7, 19, 3, 20, 16, 5, 11, 15, 10, 18, 2, 4, 9, 8, 14, 13, 6, 12, 1}",4.165608,0.075339,0.044213
"{1, 5, 3, 20, 13, 6, 16, 2, 15, 17, 19, 18, 8, 12, 4, 11, 14, 10, 7, 9, 1}",3.489861,"{1, 9, 7, 10, 11, 4, 12, 8, 14, 18, 19, 17, 15, 2, 16, 6, 13, 20, 3, 5, 1}",3.557347,0.019338,0.044163
"{1, 8, 18, 14, 3, 9, 11, 17, 12, 19, 4, 6, 20, 5, 13, 7, 10, 16, 2, 15, 1}",3.248856,"{1, 8, 18, 14, 3, 9, 11, 17, 12, 19, 4, 6, 20, 5, 13, 7, 16, 10, 2, 15, 1}",3.248150,-0.000217,0.047149
"{1, 6, 15, 13, 7, 12, 14, 11, 20, 17, 2, 3, 19, 8, 16, 9, 4, 18, 10, 5, 1}",3.433903,"{1, 5, 10, 18, 4, 9, 16, 8, 19, 3, 2, 17, 20, 11, 14, 12, 7, 13, 15, 6, 1}",3.433903,0.000000,0.045529
"{1, 3, 20, 8, 12, 15, 5, 6, 14, 7, 13, 18, 10, 11, 16, 2, 17, 9, 19, 4, 1}",3.790550,"{1, 4, 19, 9, 17, 2, 16, 11, 10, 18, 13, 7, 14, 6, 5, 15, 12, 8, 20, 3, 1}",3.790550,0.000000,0.045655
"{1, 13, 16, 11, 2, 4, 17, 18, 6, 19, 8, 15, 3, 10, 5, 20, 14, 7, 9, 12, 1}",3.482195,"{1, 13, 16, 11, 2, 4, 17, 18, 15, 3, 10, 5, 20, 14, 7, 8, 6, 19, 9, 12, 1}",3.641566,0.045767,0.045484
"{1, 2, 18, 4, 16, 19, 5, 6, 13, 8, 15, 11, 9, 3, 7, 12, 14, 20, 10, 17, 1}",3.701658,"{1, 17, 10, 20, 14, 12, 7, 3, 9, 11, 5, 19, 6, 15, 8, 13, 18, 4, 16, 2, 1}",4.012141,0.083877,0.045421
