optimal_tour,optimal_tour_length,nearest_neighbor_tour,nearest_neighbor_tour_length,score,time
"{1, 12, 13, 16, 30, 2, 20, 18, 27, 29, 19, 28, 11, 26, 8, 22, 10, 3, 23, 5, 6, 15, 9, 21, 24, 25, 4, 17, 7, 14, 1}",3.668962,"{1, 13, 16, 30, 2, 20, 17, 4, 25, 24, 7, 14, 21, 9, 15, 6, 5, 23, 3, 10, 8, 22, 26, 11, 28, 19, 29, 27, 18, 12, 1}",4.201246,0.145077,0.000120
"{1, 14, 26, 3, 29, 9, 27, 28, 6, 13, 12, 24, 19, 4, 2, 20, 30, 25, 7, 23, 8, 22, 15, 5, 21, 11, 10, 18, 17, 16, 1}",4.800034,"{1, 16, 17, 18, 10, 11, 22, 15, 5, 21, 27, 9, 29, 26, 3, 6, 13, 12, 24, 19, 4, 2, 20, 30, 25, 7, 23, 8, 28, 14, 1}",5.428682,0.130967,0.000115
"{1, 7, 21, 16, 13, 23, 29, 3, 27, 9, 4, 25, 2, 14, 10, 30, 6, 18, 24, 8, 26, 17, 28, 20, 22, 11, 15, 12, 19, 5, 1}",4.394509,"{1, 5, 19, 15, 11, 22, 26, 8, 17, 20, 28, 24, 6, 30, 10, 14, 2, 4, 25, 23, 29, 27, 3, 9, 13, 16, 21, 7, 12, 18, 1}",5.875743,0.337065,0.000129
"{1, 6, 28, 17, 19, 24, 29, 7, 5, 20, 11, 8, 18, 21, 10, 15, 9, 22, 4, 12, 2, 14, 25, 30, 16, 13, 27, 23, 26, 3, 1}",4.625886,"{1, 3, 19, 17, 24, 26, 23, 27, 13, 16, 30, 25, 14, 2, 12, 4, 22, 9, 15, 5, 7, 29, 20, 11, 8, 18, 21, 10, 28, 6, 1}",4.961894,0.072636,0.000102
"{1, 16, 10, 22, 19, 24, 25, 2, 6, 28, 11, 8, 18, 15, 20, 27, 4, 13, 26, 3, 9, 29, 30, 7, 14, 21, 17, 12, 5, 23, 1}",4.927252,"{1, 23, 5, 21, 12, 17, 3, 7, 30, 9, 29, 27, 4, 13, 8, 20, 15, 18, 28, 11, 25, 24, 19, 10, 16, 22, 2, 6, 26, 14, 1}",6.334128,0.285529,0.000102
"{1, 24, 11, 16, 25, 22, 29, 9, 27, 15, 13, 21, 5, 8, 30, 19, 10, 3, 26, 7, 23, 18, 4, 6, 14, 28, 12, 20, 2, 17, 1}",4.747001,"{1, 17, 2, 20, 27, 15, 5, 21, 13, 6, 18, 23, 7, 26, 3, 10, 19, 30, 8, 9, 25, 22, 29, 16, 11, 24, 12, 28, 14, 4, 1}",6.720096,0.415651,0.000102
"{1, 6, 17, 29, 10, 12, 2, 5, 23, 3, 25, 9, 30, 28, 13, 19, 20, 8, 26, 24, 22, 7, 21, 14, 27, 11, 18, 4, 15, 16, 1}",4.186549,"{1, 16, 15, 4, 18, 11, 27, 14, 21, 7, 22, 24, 26, 8, 20, 17, 29, 10, 6, 25, 9, 30, 19, 13, 28, 3, 23, 5, 12, 2, 1}",4.618026,0.103063,0.000102
"{1, 17, 13, 9, 25, 28, 23, 15, 10, 27, 19, 11, 24, 8, 16, 5, 6, 20, 26, 30, 4, 12, 14, 21, 29, 2, 22, 18, 7, 3, 1}",4.189502,"{1, 3, 17, 13, 9, 25, 28, 23, 15, 10, 11, 27, 19, 24, 8, 16, 5, 6, 20, 26, 30, 4, 12, 21, 14, 29, 2, 22, 18, 7, 1}",4.253159,0.015194,0.000133
"{1, 8, 24, 29, 4, 10, 22, 21, 27, 9, 30, 28, 18, 7, 17, 11, 26, 19, 15, 12, 3, 23, 14, 16, 2, 25, 6, 5, 13, 20, 1}",4.683528,"{1, 8, 4, 29, 24, 10, 22, 7, 18, 30, 28, 17, 3, 23, 14, 2, 16, 25, 6, 5, 13, 20, 15, 11, 19, 26, 12, 9, 27, 21, 1}",6.152411,0.313627,0.000102
"{1, 12, 29, 23, 7, 25, 10, 16, 8, 3, 30, 21, 2, 27, 13, 6, 9, 17, 24, 28, 14, 15, 22, 11, 5, 18, 20, 19, 26, 4, 1}",4.261121,"{1, 12, 4, 26, 19, 20, 18, 5, 11, 22, 15, 24, 17, 28, 14, 3, 30, 21, 2, 27, 13, 6, 9, 8, 16, 10, 25, 7, 23, 29, 1}",4.545733,0.066793,0.000126
"{1, 9, 23, 7, 26, 30, 14, 11, 3, 22, 17, 28, 6, 16, 25, 27, 19, 5, 10, 21, 8, 18, 2, 24, 29, 13, 12, 15, 20, 4, 1}",4.938670,"{1, 9, 26, 30, 7, 23, 18, 2, 24, 29, 13, 15, 4, 20, 12, 21, 5, 19, 27, 16, 6, 28, 17, 25, 8, 10, 22, 11, 3, 14, 1}",6.137027,0.242648,0.000102
"{1, 29, 9, 19, 16, 25, 7, 5, 28, 4, 30, 8, 21, 27, 24, 3, 26, 18, 23, 20, 2, 10, 14, 17, 6, 22, 13, 15, 11, 12, 1}",4.134695,"{1, 29, 9, 12, 11, 15, 14, 10, 17, 6, 22, 13, 16, 19, 4, 28, 5, 7, 25, 30, 8, 21, 27, 26, 3, 24, 18, 23, 20, 2, 1}",4.769408,0.153509,0.000101
"{1, 16, 14, 25, 22, 13, 3, 19, 17, 2, 27, 6, 23, 8, 28, 9, 20, 26, 10, 11, 12, 21, 7, 4, 18, 5, 15, 24, 29, 30, 1}",4.180856,"{1, 16, 14, 25, 13, 3, 22, 17, 19, 20, 9, 28, 8, 23, 26, 10, 11, 12, 21, 7, 4, 18, 5, 29, 30, 15, 24, 2, 6, 27, 1}",5.315324,0.271348,0.000102
"{1, 24, 5, 21, 19, 13, 7, 17, 27, 9, 10, 8, 29, 11, 2, 26, 3, 4, 12, 25, 20, 15, 30, 18, 28, 23, 14, 6, 22, 16, 1}",4.894875,"{1, 24, 5, 2, 11, 29, 8, 27, 9, 10, 12, 4, 30, 15, 20, 25, 18, 28, 23, 14, 6, 22, 16, 26, 3, 7, 13, 19, 17, 21, 1}",5.397453,0.102674,0.000101
"{1, 14, 28, 20, 8, 24, 18, 16, 6, 22, 12, 15, 7, 3, 11, 19, 5, 27, 29, 30, 4, 13, 9, 25, 2, 23, 26, 17, 10, 21, 1}",5.068324,"{1, 7, 15, 3, 19, 11, 5, 27, 30, 29, 4, 13, 9, 2, 23, 25, 26, 17, 10, 21, 8, 20, 16, 18, 24, 6, 22, 28, 14, 12, 1}",5.678261,0.120343,0.000111
"{1, 3, 30, 29, 7, 9, 14, 16, 27, 25, 4, 18, 28, 15, 10, 2, 26, 5, 13, 23, 8, 17, 11, 22, 21, 6, 12, 19, 20, 24, 1}",4.183873,"{1, 24, 3, 30, 29, 26, 5, 8, 23, 13, 17, 11, 22, 21, 6, 12, 19, 20, 7, 4, 25, 27, 16, 9, 14, 18, 28, 15, 10, 2, 1}",5.212445,0.245842,0.000101
"{1, 3, 4, 22, 21, 8, 17, 11, 10, 25, 2, 13, 24, 9, 23, 18, 19, 15, 29, 28, 30, 6, 12, 7, 16, 5, 14, 27, 26, 20, 1}",4.552574,"{1, 20, 27, 14, 5, 26, 16, 7, 12, 30, 6, 28, 15, 19, 23, 18, 13, 24, 9, 2, 25, 10, 11, 17, 21, 8, 22, 4, 3, 29, 1}",6.205177,0.363004,0.000102
"{1, 7, 21, 29, 3, 14, 8, 24, 16, 19, 20, 15, 30, 6, 18, 27, 9, 26, 5, 28, 25, 12, 4, 17, 23, 22, 11, 10, 13, 2, 1}",4.688631,"{1, 11, 22, 10, 13, 2, 7, 21, 29, 30, 6, 18, 27, 9, 26, 17, 5, 28, 4, 12, 25, 23, 3, 14, 20, 15, 19, 16, 24, 8, 1}",5.390799,0.149760,0.000102
"{1, 2, 29, 11, 16, 4, 23, 7, 15, 18, 24, 5, 28, 14, 25, 27, 3, 19, 17, 20, 6, 21, 12, 10, 9, 8, 26, 22, 13, 30, 1}",4.333652,"{1, 2, 29, 11, 26, 22, 13, 30, 8, 9, 16, 4, 23, 7, 15, 18, 24, 21, 12, 10, 6, 20, 17, 19, 3, 27, 25, 14, 28, 5, 1}",5.029695,0.160613,0.000102
"{1, 20, 4, 6, 21, 26, 29, 10, 11, 22, 5, 9, 16, 24, 25, 14, 13, 17, 27, 8, 18, 12, 23, 30, 19, 2, 15, 28, 3, 7, 1}",4.403530,"{1, 7, 28, 15, 2, 19, 25, 24, 16, 9, 5, 22, 11, 10, 29, 26, 21, 6, 4, 20, 3, 23, 30, 17, 12, 18, 8, 27, 13, 14, 1}",5.052317,0.147333,0.000125
"{1, 14, 30, 20, 28, 2, 23, 17, 21, 15, 18, 29, 13, 24, 22, 19, 4, 26, 16, 10, 25, 11, 7, 9, 8, 5, 12, 6, 27, 3, 1}",4.548898,"{1, 14, 3, 27, 30, 20, 28, 2, 23, 17, 5, 12, 8, 11, 7, 9, 25, 10, 16, 26, 19, 4, 22, 24, 29, 18, 15, 21, 6, 13, 1}",6.610752,0.453264,0.000102
"{1, 19, 9, 2, 25, 4, 3, 16, 13, 5, 27, 20, 11, 18, 30, 15, 26, 12, 28, 6, 17, 24, 21, 22, 29, 7, 23, 14, 10, 8, 1}",4.414240,"{1, 19, 9, 2, 25, 4, 3, 8, 14, 10, 23, 7, 29, 22, 6, 28, 17, 26, 15, 30, 18, 16, 13, 5, 27, 20, 11, 12, 21, 24, 1}",5.187330,0.175136,0.000135
"{1, 15, 5, 27, 9, 21, 7, 17, 20, 24, 22, 28, 13, 14, 23, 3, 25, 18, 11, 8, 2, 4, 26, 6, 29, 16, 10, 12, 19, 30, 1}",4.668291,"{1, 15, 27, 9, 5, 7, 21, 13, 28, 14, 23, 3, 25, 18, 11, 2, 8, 4, 26, 6, 29, 30, 19, 20, 17, 24, 22, 12, 10, 16, 1}",5.342075,0.144332,0.000101
"{1, 25, 27, 18, 9, 13, 19, 24, 30, 8, 26, 10, 21, 23, 6, 3, 22, 4, 14, 29, 2, 28, 17, 7, 5, 16, 12, 15, 20, 11, 1}",4.071125,"{1, 11, 12, 16, 15, 20, 24, 30, 19, 8, 26, 10, 21, 23, 6, 3, 22, 4, 14, 29, 2, 28, 17, 7, 5, 25, 27, 18, 9, 13, 1}",4.318311,0.060717,0.000101
