optimal_tour,optimal_tour_length,christofides_tour,christofides_tour_length,score,time
"{1, 23, 14, 13, 24, 25, 18, 12, 8, 30, 17, 4, 15, 29, 5, 10, 27, 11, 26, 3, 21, 28, 6, 2, 19, 22, 16, 7, 9, 20, 1}",4.473870,"{1, 20, 7, 16, 22, 19, 18, 12, 25, 24, 13, 14, 9, 28, 6, 2, 21, 3, 26, 27, 11, 10, 5, 29, 15, 4, 17, 30, 8, 23, 1}",4.967465,0.110328,0.000378
"{1, 29, 4, 28, 2, 11, 17, 22, 5, 27, 10, 25, 14, 18, 3, 7, 23, 6, 9, 16, 8, 26, 21, 24, 15, 20, 30, 13, 12, 19, 1}",4.470979,"{1, 29, 4, 28, 2, 11, 17, 5, 27, 14, 25, 10, 24, 26, 8, 21, 16, 9, 6, 23, 7, 3, 18, 22, 19, 12, 30, 13, 15, 20, 1}",5.384403,0.204301,0.000372
"{1, 8, 11, 28, 4, 22, 17, 5, 9, 15, 27, 16, 20, 7, 29, 18, 12, 23, 19, 24, 10, 21, 25, 14, 3, 30, 13, 2, 6, 26, 1}",4.241726,"{1, 26, 11, 28, 4, 18, 23, 12, 29, 7, 20, 27, 16, 15, 9, 5, 17, 22, 19, 25, 24, 10, 21, 13, 30, 3, 14, 8, 2, 6, 1}",5.200894,0.226127,0.000351
"{1, 3, 24, 25, 17, 4, 5, 26, 2, 7, 8, 18, 28, 14, 10, 21, 22, 19, 30, 20, 9, 13, 11, 29, 12, 15, 6, 27, 16, 23, 1}",4.863501,"{1, 3, 24, 4, 7, 2, 8, 10, 30, 19, 22, 21, 14, 28, 18, 25, 17, 5, 26, 16, 23, 27, 15, 6, 12, 29, 11, 13, 9, 20, 1}",5.685256,0.168964,0.000329
"{1, 24, 6, 18, 4, 17, 5, 15, 30, 27, 25, 11, 21, 20, 3, 7, 14, 29, 8, 9, 13, 23, 2, 16, 10, 19, 12, 22, 26, 28, 1}",4.387277,"{1, 28, 26, 22, 19, 10, 16, 12, 23, 2, 13, 9, 8, 29, 14, 7, 3, 20, 25, 15, 30, 27, 11, 21, 18, 6, 5, 17, 4, 24, 1}",4.887587,0.114037,0.000347
"{1, 16, 4, 26, 10, 24, 11, 5, 7, 17, 15, 21, 14, 25, 18, 9, 22, 6, 13, 30, 12, 29, 27, 2, 20, 23, 19, 8, 28, 3, 1}",4.370493,"{1, 16, 14, 25, 18, 9, 22, 20, 2, 27, 29, 12, 7, 17, 15, 21, 11, 5, 6, 13, 30, 24, 10, 26, 4, 23, 19, 8, 28, 3, 1}",5.301548,0.213032,0.000320
"{1, 6, 12, 26, 22, 9, 25, 21, 29, 13, 5, 18, 14, 8, 19, 16, 7, 15, 3, 4, 27, 30, 17, 20, 10, 24, 28, 23, 2, 11, 1}",4.556080,"{1, 12, 26, 22, 6, 7, 17, 30, 27, 4, 3, 15, 16, 19, 8, 14, 18, 5, 13, 29, 21, 25, 9, 20, 10, 24, 28, 2, 23, 11, 1}",5.516580,0.210817,0.000393
"{1, 28, 11, 13, 27, 5, 16, 25, 9, 10, 8, 15, 20, 12, 3, 17, 14, 7, 2, 21, 26, 23, 18, 4, 19, 22, 24, 29, 6, 30, 1}",4.651166,"{1, 30, 29, 24, 22, 19, 4, 18, 23, 26, 21, 7, 2, 6, 15, 20, 8, 10, 27, 5, 16, 9, 25, 12, 3, 17, 14, 13, 11, 28, 1}",5.472054,0.176491,0.000351
"{1, 23, 13, 22, 25, 18, 9, 3, 7, 26, 14, 20, 19, 24, 11, 5, 30, 2, 8, 29, 6, 16, 4, 12, 27, 10, 17, 15, 21, 28, 1}",4.691166,"{1, 28, 17, 15, 10, 27, 21, 12, 4, 16, 6, 29, 8, 30, 11, 5, 2, 18, 25, 9, 3, 7, 24, 19, 20, 14, 26, 22, 13, 23, 1}",5.763722,0.228633,0.000354
"{1, 27, 13, 16, 3, 29, 21, 8, 4, 5, 23, 9, 15, 24, 28, 20, 12, 25, 2, 18, 30, 10, 11, 19, 26, 22, 14, 17, 7, 6, 1}",4.396293,"{1, 3, 29, 21, 8, 4, 5, 23, 9, 24, 15, 28, 25, 20, 12, 2, 26, 19, 11, 10, 30, 18, 22, 14, 17, 7, 6, 16, 13, 27, 1}",4.861922,0.105914,0.000417
