optimal_tour,optimal_tour_length,greedy_tour,greedy_tour_length,score,time
"{1, 12, 13, 16, 30, 2, 20, 18, 27, 29, 19, 28, 11, 26, 8, 22, 10, 3, 23, 5, 6, 15, 9, 21, 24, 25, 4, 17, 7, 14, 1}",3.668962,"{1, 13, 16, 30, 2, 20, 18, 27, 29, 19, 28, 11, 26, 22, 8, 10, 3, 23, 5, 6, 15, 9, 21, 17, 4, 25, 24, 7, 14, 12, 1}",3.888322,0.059788,0.000248
"{1, 14, 26, 3, 29, 9, 27, 28, 6, 13, 12, 24, 19, 4, 2, 20, 30, 25, 7, 23, 8, 22, 15, 5, 21, 11, 10, 18, 17, 16, 1}",4.800034,"{1, 16, 17, 18, 10, 11, 22, 15, 5, 21, 28, 27, 9, 29, 26, 3, 6, 13, 12, 24, 19, 4, 2, 20, 30, 25, 7, 23, 8, 14, 1}",5.448525,0.135101,0.000251
"{1, 7, 21, 16, 13, 23, 29, 3, 27, 9, 4, 25, 2, 14, 10, 30, 6, 18, 24, 8, 26, 17, 28, 20, 22, 11, 15, 12, 19, 5, 1}",4.394509,"{1, 5, 19, 15, 11, 22, 28, 20, 17, 26, 8, 24, 6, 30, 10, 14, 2, 4, 25, 9, 3, 27, 29, 23, 13, 16, 21, 18, 12, 7, 1}",5.475958,0.246091,0.000253
"{1, 6, 28, 17, 19, 24, 29, 7, 5, 20, 11, 8, 18, 21, 10, 15, 9, 22, 4, 12, 2, 14, 25, 30, 16, 13, 27, 23, 26, 3, 1}",4.625886,"{1, 3, 26, 24, 19, 17, 29, 7, 5, 15, 10, 21, 20, 11, 8, 18, 9, 22, 4, 12, 2, 14, 25, 30, 16, 13, 23, 27, 28, 6, 1}",5.386292,0.164381,0.000287
"{1, 16, 10, 22, 19, 24, 25, 2, 6, 28, 11, 8, 18, 15, 20, 27, 4, 13, 26, 3, 9, 29, 30, 7, 14, 21, 17, 12, 5, 23, 1}",4.927252,"{1, 23, 5, 17, 12, 21, 3, 14, 7, 9, 30, 29, 26, 13, 4, 27, 8, 20, 15, 18, 2, 6, 28, 11, 25, 24, 19, 22, 10, 16, 1}",5.237065,0.062877,0.000285
"{1, 24, 11, 16, 25, 22, 29, 9, 27, 15, 13, 21, 5, 8, 30, 19, 10, 3, 26, 7, 23, 18, 4, 6, 14, 28, 12, 20, 2, 17, 1}",4.747001,"{1, 17, 2, 20, 12, 28, 14, 6, 13, 21, 5, 15, 27, 9, 8, 30, 19, 10, 3, 26, 7, 23, 18, 4, 29, 22, 25, 16, 11, 24, 1}",5.088892,0.072022,0.000253
"{1, 6, 17, 29, 10, 12, 2, 5, 23, 3, 25, 9, 30, 28, 13, 19, 20, 8, 26, 24, 22, 7, 21, 14, 27, 11, 18, 4, 15, 16, 1}",4.186549,"{1, 16, 15, 4, 18, 11, 27, 14, 21, 7, 22, 24, 8, 26, 20, 6, 17, 29, 10, 23, 3, 25, 9, 30, 19, 13, 28, 5, 12, 2, 1}",4.675888,0.116884,0.000257
"{1, 17, 13, 9, 25, 28, 23, 15, 10, 27, 19, 11, 24, 8, 16, 5, 6, 20, 26, 30, 4, 12, 14, 21, 29, 2, 22, 18, 7, 3, 1}",4.189502,"{1, 3, 17, 13, 9, 7, 18, 22, 2, 29, 14, 21, 12, 4, 30, 26, 20, 25, 28, 23, 15, 10, 6, 5, 16, 8, 24, 11, 27, 19, 1}",4.470481,0.067067,0.000255
"{1, 8, 24, 29, 4, 10, 22, 21, 27, 9, 30, 28, 18, 7, 17, 11, 26, 19, 15, 12, 3, 23, 14, 16, 2, 25, 6, 5, 13, 20, 1}",4.683528,"{1, 8, 4, 29, 24, 10, 22, 21, 27, 9, 28, 30, 18, 7, 17, 12, 15, 11, 19, 26, 13, 5, 6, 25, 2, 16, 14, 23, 3, 20, 1}",5.493681,0.172979,0.000268
"{1, 12, 29, 23, 7, 25, 10, 16, 8, 3, 30, 21, 2, 27, 13, 6, 9, 17, 24, 28, 14, 15, 22, 11, 5, 18, 20, 19, 26, 4, 1}",4.261121,"{1, 12, 4, 26, 19, 20, 18, 5, 11, 22, 15, 28, 24, 17, 9, 6, 13, 27, 2, 21, 30, 3, 8, 16, 10, 25, 7, 23, 29, 14, 1}",5.231800,0.227799,0.000262
