optimal_tour,optimal_tour_length,simulated_annealing_tour,simulated_annealing_tour_length,score,time
"{1, 16, 10, 22, 19, 24, 25, 2, 6, 28, 11, 8, 18, 15, 20, 27, 4, 13, 26, 3, 9, 29, 30, 7, 14, 21, 17, 12, 5, 23, 1}",4.927252,"{1, 24, 19, 10, 16, 22, 2, 6, 28, 11, 25, 13, 4, 8, 18, 15, 20, 27, 26, 3, 9, 29, 30, 7, 14, 21, 17, 12, 5, 23, 1}",5.130223,0.041194,0.061571
"{1, 24, 11, 16, 25, 22, 29, 9, 27, 15, 13, 21, 5, 8, 30, 19, 10, 3, 26, 7, 23, 18, 4, 6, 14, 28, 12, 20, 2, 17, 1}",4.747001,"{1, 24, 11, 16, 25, 22, 29, 8, 30, 19, 10, 3, 26, 7, 23, 18, 4, 6, 14, 28, 12, 13, 21, 5, 15, 27, 9, 20, 2, 17, 1}",4.896139,0.031417,0.058050
"{1, 6, 17, 29, 10, 12, 2, 5, 23, 3, 25, 9, 30, 28, 13, 19, 20, 8, 26, 24, 22, 7, 21, 14, 27, 11, 18, 4, 15, 16, 1}",4.186549,"{1, 16, 15, 4, 18, 11, 27, 14, 21, 7, 22, 24, 8, 26, 20, 25, 19, 13, 28, 30, 9, 3, 23, 5, 2, 12, 10, 29, 17, 6, 1}",4.302099,0.027600,0.060099
"{1, 17, 13, 9, 25, 28, 23, 15, 10, 27, 19, 11, 24, 8, 16, 5, 6, 20, 26, 30, 4, 12, 14, 21, 29, 2, 22, 18, 7, 3, 1}",4.189502,"{1, 3, 17, 13, 9, 25, 28, 23, 15, 10, 11, 27, 19, 24, 8, 16, 5, 6, 20, 26, 30, 4, 12, 21, 14, 29, 2, 22, 18, 7, 1}",4.253159,0.015194,0.058323
"{1, 8, 24, 29, 4, 10, 22, 21, 27, 9, 30, 28, 18, 7, 17, 11, 26, 19, 15, 12, 3, 23, 14, 16, 2, 25, 6, 5, 13, 20, 1}",4.683528,"{1, 8, 24, 29, 4, 10, 22, 21, 27, 9, 30, 18, 7, 17, 3, 15, 11, 28, 26, 19, 12, 23, 14, 16, 2, 25, 6, 5, 13, 20, 1}",5.195201,0.109249,0.059091
"{1, 12, 29, 23, 7, 25, 10, 16, 8, 3, 30, 21, 2, 27, 13, 6, 9, 17, 24, 28, 14, 15, 22, 11, 5, 18, 20, 19, 26, 4, 1}",4.261121,"{1, 4, 26, 19, 20, 18, 5, 11, 22, 15, 14, 28, 24, 17, 9, 6, 13, 27, 2, 21, 30, 3, 8, 16, 10, 25, 7, 23, 29, 12, 1}",4.261120,0.000000,0.060165
"{1, 9, 23, 7, 26, 30, 14, 11, 3, 22, 17, 28, 6, 16, 25, 27, 19, 5, 10, 21, 8, 18, 2, 24, 29, 13, 12, 15, 20, 4, 1}",4.938670,"{1, 4, 20, 15, 12, 13, 29, 24, 2, 18, 21, 10, 5, 19, 16, 6, 17, 28, 25, 27, 8, 23, 7, 14, 22, 3, 11, 30, 26, 9, 1}",5.195991,0.052103,0.058456
"{1, 29, 9, 19, 16, 25, 7, 5, 28, 4, 30, 8, 21, 27, 24, 3, 26, 18, 23, 20, 2, 10, 14, 17, 6, 22, 13, 15, 11, 12, 1}",4.134695,"{1, 29, 9, 19, 16, 25, 7, 5, 28, 4, 30, 8, 21, 27, 24, 3, 26, 18, 23, 20, 2, 10, 17, 14, 15, 6, 22, 13, 11, 12, 1}",4.147001,0.002976,0.060575
"{1, 16, 14, 25, 22, 13, 3, 19, 17, 2, 27, 6, 23, 8, 28, 9, 20, 26, 10, 11, 12, 21, 7, 4, 18, 5, 15, 24, 29, 30, 1}",4.180856,"{1, 16, 14, 25, 22, 13, 3, 26, 19, 17, 2, 27, 6, 20, 9, 28, 8, 23, 10, 11, 12, 21, 7, 4, 18, 5, 15, 24, 29, 30, 1}",4.300135,0.028530,0.058801
"{1, 24, 5, 21, 19, 13, 7, 17, 27, 9, 10, 8, 29, 11, 2, 26, 3, 4, 12, 25, 20, 15, 30, 18, 28, 23, 14, 6, 22, 16, 1}",4.894875,"{1, 24, 5, 3, 26, 16, 22, 6, 14, 23, 28, 18, 15, 20, 25, 30, 4, 12, 8, 10, 9, 27, 29, 11, 2, 7, 17, 19, 13, 21, 1}",5.107636,0.043466,0.058777
"{1, 14, 28, 20, 8, 24, 18, 16, 6, 22, 12, 15, 7, 3, 11, 19, 5, 27, 29, 30, 4, 13, 9, 25, 2, 23, 26, 17, 10, 21, 1}",5.068324,"{1, 14, 28, 20, 24, 18, 16, 6, 22, 12, 15, 7, 3, 11, 19, 5, 27, 9, 13, 29, 30, 4, 25, 2, 23, 26, 17, 10, 8, 21, 1}",5.387562,0.062987,0.060578
"{1, 3, 30, 29, 7, 9, 14, 16, 27, 25, 4, 18, 28, 15, 10, 2, 26, 5, 13, 23, 8, 17, 11, 22, 21, 6, 12, 19, 20, 24, 1}",4.183873,"{1, 24, 20, 19, 12, 6, 21, 22, 11, 17, 8, 23, 13, 2, 5, 26, 29, 18, 28, 10, 15, 27, 14, 9, 16, 25, 4, 7, 30, 3, 1}",4.651449,0.111757,0.060357
"{1, 3, 4, 22, 21, 8, 17, 11, 10, 25, 2, 13, 24, 9, 23, 18, 19, 15, 29, 28, 30, 6, 12, 7, 16, 5, 14, 27, 26, 20, 1}",4.552574,"{1, 3, 4, 22, 21, 8, 17, 11, 10, 25, 2, 13, 24, 9, 23, 18, 19, 15, 29, 12, 30, 28, 6, 7, 16, 5, 14, 27, 26, 20, 1}",4.592828,0.008842,0.057900
"{1, 7, 21, 29, 3, 14, 8, 24, 16, 19, 20, 15, 30, 6, 18, 27, 9, 26, 5, 28, 25, 12, 4, 17, 23, 22, 11, 10, 13, 2, 1}",4.688631,"{1, 11, 22, 23, 4, 12, 25, 28, 5, 17, 26, 9, 27, 18, 6, 15, 20, 19, 16, 24, 8, 14, 3, 30, 29, 21, 7, 2, 13, 10, 1}",4.759485,0.015112,0.058614
"{1, 2, 29, 11, 16, 4, 23, 7, 15, 18, 24, 5, 28, 14, 25, 27, 3, 19, 17, 20, 6, 21, 12, 10, 9, 8, 26, 22, 13, 30, 1}",4.333652,"{1, 22, 26, 8, 9, 10, 12, 20, 6, 21, 16, 4, 23, 7, 15, 18, 24, 25, 14, 5, 28, 27, 3, 19, 17, 13, 30, 29, 11, 2, 1}",4.560332,0.052307,0.059176
"{1, 20, 4, 6, 21, 26, 29, 10, 11, 22, 5, 9, 16, 24, 25, 14, 13, 17, 27, 8, 18, 12, 23, 30, 19, 2, 15, 28, 3, 7, 1}",4.403530,"{1, 7, 3, 2, 28, 15, 24, 16, 25, 19, 30, 23, 17, 12, 18, 8, 27, 13, 14, 9, 5, 22, 11, 10, 29, 26, 21, 6, 4, 20, 1}",4.691783,0.065460,0.059247
"{1, 14, 30, 20, 28, 2, 23, 17, 21, 15, 18, 29, 13, 24, 22, 19, 4, 26, 16, 10, 25, 11, 7, 9, 8, 5, 12, 6, 27, 3, 1}",4.548898,"{1, 14, 30, 20, 28, 2, 23, 17, 21, 15, 18, 22, 24, 29, 13, 16, 10, 25, 26, 19, 4, 5, 12, 8, 11, 7, 9, 6, 27, 3, 1}",4.682546,0.029380,0.058047
"{1, 19, 9, 2, 25, 4, 3, 16, 13, 5, 27, 20, 11, 18, 30, 15, 26, 12, 28, 6, 17, 24, 21, 22, 29, 7, 23, 14, 10, 8, 1}",4.414240,"{1, 19, 10, 14, 23, 7, 29, 22, 21, 24, 17, 6, 28, 26, 30, 11, 20, 27, 5, 13, 16, 18, 15, 12, 8, 3, 4, 25, 2, 9, 1}",4.456155,0.009495,0.058101
"{1, 15, 5, 27, 9, 21, 7, 17, 20, 24, 22, 28, 13, 14, 23, 3, 25, 18, 11, 8, 2, 4, 26, 6, 29, 16, 10, 12, 19, 30, 1}",4.668291,"{1, 30, 16, 10, 12, 19, 20, 17, 24, 22, 28, 13, 7, 5, 15, 27, 9, 21, 14, 23, 3, 25, 18, 11, 8, 2, 4, 26, 6, 29, 1}",4.913053,0.052431,0.060006
"{1, 25, 27, 18, 9, 13, 19, 24, 30, 8, 26, 10, 21, 23, 6, 3, 22, 4, 14, 29, 2, 28, 17, 7, 5, 16, 12, 15, 20, 11, 1}",4.071125,"{1, 25, 27, 18, 9, 13, 19, 24, 30, 8, 26, 10, 21, 6, 3, 22, 23, 14, 4, 29, 2, 28, 17, 7, 5, 16, 12, 15, 20, 11, 1}",4.086969,0.003892,0.058247
"{1, 6, 3, 27, 21, 22, 7, 15, 23, 17, 5, 29, 16, 11, 12, 2, 13, 25, 18, 10, 9, 26, 28, 30, 20, 24, 4, 19, 14, 8, 1}",4.050708,"{1, 8, 14, 19, 4, 24, 20, 30, 28, 26, 9, 18, 25, 13, 2, 12, 11, 16, 29, 5, 10, 17, 23, 15, 7, 22, 21, 27, 3, 6, 1}",4.168712,0.029132,0.059516
"{1, 27, 8, 23, 4, 13, 9, 14, 26, 17, 19, 6, 24, 25, 16, 7, 30, 10, 18, 15, 22, 5, 20, 2, 21, 12, 29, 11, 3, 28, 1}",4.344605,"{1, 28, 3, 11, 29, 12, 21, 2, 20, 5, 22, 15, 18, 10, 30, 7, 16, 25, 24, 6, 19, 17, 26, 14, 9, 13, 8, 27, 23, 4, 1}",4.395581,0.011733,0.060512
"{1, 20, 19, 6, 27, 29, 28, 11, 12, 2, 15, 25, 4, 3, 5, 9, 10, 22, 17, 30, 13, 21, 26, 24, 14, 8, 7, 23, 18, 16, 1}",4.587878,"{1, 16, 18, 20, 10, 22, 7, 23, 8, 14, 17, 30, 26, 24, 21, 13, 9, 5, 3, 4, 25, 15, 2, 19, 12, 11, 28, 29, 6, 27, 1}",4.987057,0.087007,0.060415
"{1, 29, 30, 24, 14, 26, 18, 7, 3, 23, 10, 8, 12, 27, 11, 5, 6, 28, 22, 16, 21, 13, 20, 2, 25, 4, 17, 19, 15, 9, 1}",4.594478,"{1, 30, 24, 26, 14, 6, 28, 9, 15, 19, 17, 4, 25, 2, 20, 13, 21, 16, 22, 5, 11, 27, 12, 8, 10, 23, 3, 7, 18, 29, 1}",4.661942,0.014684,0.058070
"{1, 6, 18, 13, 19, 29, 21, 25, 30, 15, 4, 16, 22, 2, 17, 24, 3, 20, 8, 9, 14, 5, 12, 26, 28, 10, 11, 7, 23, 27, 1}",4.759156,"{1, 6, 18, 13, 19, 29, 21, 25, 16, 4, 30, 15, 22, 2, 17, 24, 3, 20, 8, 9, 14, 5, 12, 26, 28, 10, 11, 7, 23, 27, 1}",4.880785,0.025557,0.060242
"{1, 28, 20, 16, 9, 10, 26, 30, 7, 22, 19, 18, 27, 8, 4, 25, 11, 29, 5, 21, 24, 6, 13, 17, 15, 23, 14, 12, 2, 3, 1}",4.759961,"{1, 3, 26, 30, 5, 21, 2, 12, 14, 23, 15, 17, 13, 6, 24, 11, 29, 25, 4, 8, 27, 18, 19, 22, 7, 10, 9, 16, 20, 28, 1}",4.803045,0.009051,0.060966
"{1, 17, 20, 5, 16, 27, 7, 19, 24, 14, 11, 4, 29, 28, 3, 22, 26, 18, 2, 8, 6, 30, 23, 9, 12, 10, 15, 13, 21, 25, 1}",4.661201,"{1, 17, 20, 5, 16, 27, 7, 19, 24, 14, 29, 4, 26, 22, 3, 28, 2, 18, 8, 6, 30, 23, 9, 12, 10, 13, 15, 11, 21, 25, 1}",5.114786,0.097311,0.058293
"{1, 26, 20, 15, 11, 13, 21, 27, 8, 12, 22, 29, 19, 28, 9, 24, 18, 7, 3, 10, 6, 30, 25, 23, 16, 2, 14, 4, 17, 5, 1}",4.771209,"{1, 26, 20, 15, 11, 13, 21, 27, 8, 12, 22, 29, 19, 28, 9, 24, 18, 7, 3, 10, 6, 30, 25, 23, 16, 2, 14, 4, 17, 5, 1}",4.771209,0.000000,0.058018
"{1, 24, 23, 29, 30, 21, 6, 26, 4, 22, 9, 7, 3, 5, 16, 8, 12, 10, 17, 13, 18, 14, 27, 20, 15, 25, 2, 11, 28, 19, 1}",4.084283,"{1, 19, 28, 11, 2, 25, 15, 20, 27, 14, 18, 13, 17, 10, 12, 8, 16, 5, 3, 7, 9, 22, 4, 26, 6, 21, 30, 29, 23, 24, 1}",4.084283,0.000000,0.058420
"{1, 8, 18, 16, 2, 11, 12, 27, 23, 22, 5, 17, 29, 26, 14, 15, 7, 30, 19, 28, 10, 3, 20, 6, 25, 24, 4, 21, 13, 9, 1}",5.373356,"{1, 9, 13, 21, 4, 24, 25, 6, 20, 3, 10, 30, 7, 15, 14, 19, 28, 26, 29, 17, 5, 22, 23, 8, 18, 27, 12, 11, 2, 16, 1}",5.659641,0.053279,0.058120
"{1, 12, 17, 15, 4, 23, 27, 20, 13, 3, 14, 16, 21, 22, 29, 19, 26, 25, 24, 2, 7, 6, 9, 18, 8, 5, 10, 11, 28, 30, 1}",4.703946,"{1, 30, 5, 10, 11, 28, 6, 7, 18, 8, 9, 16, 25, 24, 2, 26, 19, 29, 22, 21, 13, 20, 27, 23, 3, 14, 4, 15, 17, 12, 1}",5.088689,0.081792,0.058770
"{1, 28, 25, 7, 15, 16, 3, 26, 30, 27, 14, 29, 2, 24, 11, 21, 12, 5, 9, 10, 19, 18, 8, 4, 13, 22, 17, 20, 23, 6, 1}",4.257430,"{1, 6, 14, 29, 2, 24, 11, 21, 12, 5, 9, 10, 19, 18, 20, 8, 4, 13, 22, 17, 23, 25, 7, 15, 16, 3, 26, 30, 27, 28, 1}",4.380533,0.028915,0.058230
"{1, 30, 8, 18, 28, 17, 7, 23, 26, 24, 5, 27, 13, 15, 10, 12, 9, 3, 21, 11, 16, 6, 25, 20, 29, 22, 19, 2, 14, 4, 1}",4.408784,"{1, 4, 14, 2, 22, 29, 20, 25, 6, 16, 11, 21, 3, 15, 13, 27, 10, 12, 9, 26, 5, 24, 17, 28, 7, 23, 18, 19, 8, 30, 1}",4.692708,0.064400,0.058313
"{1, 6, 4, 19, 28, 10, 5, 12, 9, 24, 20, 27, 8, 2, 30, 18, 11, 13, 15, 29, 16, 14, 26, 17, 3, 23, 7, 25, 21, 22, 1}",4.805601,"{1, 6, 4, 19, 28, 10, 5, 12, 9, 24, 20, 27, 8, 2, 30, 18, 11, 17, 26, 13, 15, 29, 16, 14, 3, 23, 7, 25, 21, 22, 1}",4.842460,0.007670,0.059888
"{1, 15, 20, 8, 5, 29, 3, 7, 21, 2, 26, 14, 12, 19, 25, 22, 10, 4, 18, 16, 30, 28, 13, 9, 11, 27, 17, 6, 24, 23, 1}",4.645895,"{1, 15, 20, 17, 6, 24, 23, 26, 2, 14, 12, 25, 19, 10, 4, 18, 16, 30, 28, 13, 9, 11, 27, 8, 5, 29, 22, 21, 7, 3, 1}",4.959225,0.067442,0.058680
"{1, 16, 25, 6, 9, 17, 26, 24, 2, 14, 3, 13, 22, 29, 11, 4, 20, 12, 10, 30, 18, 7, 21, 27, 28, 23, 19, 5, 15, 8, 1}",4.538300,"{1, 8, 11, 15, 5, 19, 4, 20, 12, 23, 28, 27, 21, 10, 7, 18, 30, 2, 24, 26, 14, 3, 13, 29, 22, 17, 9, 6, 25, 16, 1}",4.924930,0.085193,0.060521
"{1, 21, 11, 27, 10, 13, 30, 23, 24, 19, 29, 17, 7, 15, 3, 20, 28, 26, 5, 6, 14, 2, 8, 22, 9, 4, 12, 18, 25, 16, 1}",4.395518,"{1, 21, 23, 30, 11, 27, 13, 10, 17, 7, 15, 3, 29, 19, 24, 14, 2, 6, 5, 20, 28, 26, 8, 22, 9, 4, 12, 18, 25, 16, 1}",4.700499,0.069384,0.058726
"{1, 16, 22, 18, 14, 5, 27, 17, 7, 28, 25, 12, 11, 8, 3, 6, 2, 21, 4, 24, 29, 15, 20, 13, 9, 10, 30, 26, 19, 23, 1}",4.212930,"{1, 16, 22, 18, 7, 28, 11, 12, 25, 14, 5, 27, 17, 8, 3, 6, 2, 21, 4, 24, 29, 15, 20, 13, 9, 10, 30, 26, 19, 23, 1}",4.513439,0.071330,0.060249
"{1, 16, 26, 18, 20, 27, 23, 7, 17, 4, 5, 30, 29, 13, 21, 14, 24, 8, 22, 2, 6, 28, 19, 3, 11, 15, 25, 10, 12, 9, 1}",4.923536,"{1, 9, 12, 10, 25, 15, 11, 3, 19, 28, 6, 2, 22, 24, 14, 8, 21, 13, 29, 30, 5, 4, 17, 7, 23, 20, 27, 18, 26, 16, 1}",4.975400,0.010534,0.060235
"{1, 4, 12, 17, 23, 3, 16, 22, 30, 18, 2, 15, 19, 14, 8, 5, 27, 21, 29, 20, 11, 13, 28, 24, 7, 9, 25, 26, 10, 6, 1}",4.352213,"{1, 4, 12, 3, 16, 23, 17, 8, 14, 22, 30, 2, 15, 18, 19, 5, 27, 11, 13, 28, 24, 7, 9, 25, 20, 21, 29, 26, 10, 6, 1}",4.676425,0.074494,0.058166
"{1, 3, 14, 2, 18, 28, 16, 22, 25, 9, 4, 27, 26, 20, 13, 23, 30, 12, 21, 10, 19, 29, 5, 11, 6, 15, 24, 7, 8, 17, 1}",4.442610,"{1, 12, 30, 23, 3, 14, 2, 18, 20, 13, 26, 28, 27, 4, 9, 25, 22, 16, 8, 17, 7, 24, 15, 6, 11, 5, 29, 19, 10, 21, 1}",4.655948,0.048021,0.059595
"{1, 4, 16, 2, 10, 11, 18, 28, 15, 20, 27, 5, 17, 8, 6, 19, 24, 21, 13, 22, 12, 26, 9, 14, 23, 30, 3, 7, 29, 25, 1}",4.338206,"{1, 25, 2, 10, 11, 16, 4, 18, 28, 15, 20, 5, 27, 17, 8, 19, 6, 24, 21, 13, 26, 22, 12, 9, 23, 14, 30, 29, 7, 3, 1}",4.715662,0.087007,0.058269
"{1, 13, 20, 4, 19, 27, 17, 28, 14, 9, 16, 25, 12, 2, 10, 26, 11, 7, 6, 15, 3, 8, 30, 21, 18, 23, 5, 29, 24, 22, 1}",4.790635,"{1, 29, 23, 30, 21, 18, 20, 13, 4, 19, 27, 17, 28, 14, 9, 16, 25, 12, 2, 10, 8, 11, 26, 7, 6, 15, 3, 5, 24, 22, 1}",4.979951,0.039518,0.060124
"{1, 10, 16, 6, 3, 20, 8, 12, 5, 26, 19, 17, 13, 27, 30, 15, 29, 21, 14, 9, 25, 18, 24, 7, 22, 4, 23, 11, 28, 2, 1}",4.021061,"{1, 10, 16, 6, 3, 20, 11, 8, 12, 5, 26, 19, 17, 13, 29, 21, 15, 27, 30, 14, 9, 25, 18, 24, 7, 22, 4, 23, 2, 28, 1}",4.101754,0.020068,0.057800
"{1, 27, 28, 13, 16, 14, 25, 6, 30, 11, 10, 20, 23, 24, 19, 26, 15, 8, 18, 22, 2, 12, 3, 9, 7, 4, 17, 21, 29, 5, 1}",4.709912,"{1, 5, 29, 21, 2, 17, 4, 7, 9, 3, 12, 22, 18, 26, 8, 15, 19, 24, 23, 20, 10, 11, 30, 6, 25, 14, 16, 13, 28, 27, 1}",4.772019,0.013186,0.057939
"{1, 27, 6, 23, 11, 14, 4, 18, 22, 5, 7, 30, 24, 26, 17, 13, 21, 3, 28, 9, 8, 16, 25, 19, 15, 2, 20, 12, 29, 10, 1}",4.288992,"{1, 10, 29, 12, 20, 2, 15, 19, 25, 16, 8, 9, 28, 3, 21, 17, 26, 24, 13, 18, 4, 14, 11, 23, 22, 5, 7, 30, 27, 6, 1}",4.554598,0.061927,0.059174
"{1, 29, 21, 14, 28, 15, 12, 6, 20, 16, 4, 2, 23, 5, 7, 30, 25, 18, 22, 13, 19, 11, 10, 27, 26, 8, 3, 9, 17, 24, 1}",4.391786,"{1, 24, 17, 9, 10, 3, 8, 26, 27, 11, 6, 19, 18, 25, 30, 7, 5, 22, 13, 23, 2, 4, 16, 20, 12, 15, 28, 14, 21, 29, 1}",4.738836,0.079023,0.058583
