optimal_tour,optimal_tour_length,simulated_annealing_tour,simulated_annealing_tour_length,score,time
"{1, 23, 14, 13, 24, 25, 18, 12, 8, 30, 17, 4, 15, 29, 5, 10, 27, 11, 26, 3, 21, 28, 6, 2, 19, 22, 16, 7, 9, 20, 1}",4.473870,"{1, 20, 23, 15, 9, 7, 16, 22, 19, 2, 6, 28, 21, 3, 26, 11, 27, 10, 5, 29, 4, 17, 30, 8, 12, 18, 25, 24, 13, 14, 1}",4.733214,0.057969,0.061213
"{1, 29, 4, 28, 2, 11, 17, 22, 5, 27, 10, 25, 14, 18, 3, 7, 23, 6, 9, 16, 8, 26, 21, 24, 15, 20, 30, 13, 12, 19, 1}",4.470979,"{1, 29, 4, 28, 2, 11, 17, 22, 5, 27, 10, 25, 14, 18, 3, 7, 23, 9, 6, 16, 8, 26, 21, 24, 15, 20, 12, 30, 13, 19, 1}",4.505327,0.007683,0.058676
"{1, 8, 11, 28, 4, 22, 17, 5, 9, 15, 27, 16, 20, 7, 29, 18, 12, 23, 19, 24, 10, 21, 25, 14, 3, 30, 13, 2, 6, 26, 1}",4.241726,"{1, 26, 22, 17, 5, 9, 15, 27, 20, 29, 7, 16, 19, 23, 24, 10, 21, 25, 12, 18, 4, 28, 11, 14, 3, 30, 13, 2, 6, 8, 1}",4.637930,0.093406,0.058077
"{1, 3, 24, 25, 17, 4, 5, 26, 2, 7, 8, 18, 28, 14, 10, 21, 22, 19, 30, 20, 9, 13, 11, 29, 12, 15, 6, 27, 16, 23, 1}",4.863501,"{1, 3, 24, 25, 18, 28, 8, 7, 2, 26, 5, 4, 17, 23, 16, 27, 6, 15, 12, 29, 11, 20, 19, 22, 21, 10, 14, 30, 9, 13, 1}",4.980462,0.024049,0.058241
"{1, 24, 6, 18, 4, 17, 5, 15, 30, 27, 25, 11, 21, 20, 3, 7, 14, 29, 8, 9, 13, 23, 2, 16, 10, 19, 12, 22, 26, 28, 1}",4.387277,"{1, 24, 6, 18, 5, 17, 4, 21, 11, 25, 27, 15, 30, 3, 7, 14, 29, 8, 9, 13, 23, 20, 22, 2, 16, 10, 19, 12, 26, 28, 1}",4.611219,0.051044,0.058445
"{1, 16, 4, 26, 10, 24, 11, 5, 7, 17, 15, 21, 14, 25, 18, 9, 22, 6, 13, 30, 12, 29, 27, 2, 20, 23, 19, 8, 28, 3, 1}",4.370493,"{1, 16, 4, 26, 10, 24, 11, 5, 7, 21, 15, 17, 6, 13, 30, 12, 29, 27, 2, 22, 25, 14, 18, 9, 20, 23, 19, 8, 28, 3, 1}",4.485856,0.026396,0.058256
"{1, 6, 12, 26, 22, 9, 25, 21, 29, 13, 5, 18, 14, 8, 19, 16, 7, 15, 3, 4, 27, 30, 17, 20, 10, 24, 28, 23, 2, 11, 1}",4.556080,"{1, 12, 26, 6, 9, 22, 7, 25, 21, 29, 13, 5, 18, 14, 8, 19, 16, 15, 3, 4, 27, 30, 17, 20, 10, 24, 28, 23, 2, 11, 1}",4.832312,0.060629,0.058602
"{1, 28, 11, 13, 27, 5, 16, 25, 9, 10, 8, 15, 20, 12, 3, 17, 14, 7, 2, 21, 26, 23, 18, 4, 19, 22, 24, 29, 6, 30, 1}",4.651166,"{1, 28, 11, 13, 27, 5, 16, 25, 9, 10, 8, 15, 20, 12, 3, 17, 14, 7, 2, 21, 6, 4, 26, 23, 18, 19, 22, 24, 29, 30, 1}",4.729892,0.016926,0.058080
"{1, 23, 13, 22, 25, 18, 9, 3, 7, 26, 14, 20, 19, 24, 11, 5, 30, 2, 8, 29, 6, 16, 4, 12, 27, 10, 17, 15, 21, 28, 1}",4.691166,"{1, 13, 22, 23, 29, 8, 5, 30, 2, 25, 18, 9, 3, 7, 11, 24, 26, 14, 20, 19, 4, 27, 10, 17, 15, 21, 28, 12, 16, 6, 1}",4.956744,0.056612,0.059263
"{1, 27, 13, 16, 3, 29, 21, 8, 4, 5, 23, 9, 15, 24, 28, 20, 12, 25, 2, 18, 30, 10, 11, 19, 26, 22, 14, 17, 7, 6, 1}",4.396293,"{1, 27, 13, 3, 29, 16, 6, 21, 8, 4, 5, 23, 9, 15, 24, 28, 20, 12, 25, 2, 18, 30, 10, 11, 19, 26, 22, 14, 17, 7, 1}",4.626810,0.052434,0.058387
"{1, 29, 12, 23, 10, 7, 30, 6, 26, 25, 14, 21, 19, 27, 17, 22, 4, 8, 11, 15, 2, 24, 20, 13, 9, 28, 3, 5, 18, 16, 1}",4.349826,"{1, 29, 16, 20, 24, 2, 15, 11, 8, 4, 22, 17, 19, 21, 14, 27, 25, 26, 6, 30, 7, 10, 12, 23, 5, 3, 28, 9, 13, 18, 1}",4.502272,0.035046,0.058287
"{1, 9, 23, 26, 7, 2, 19, 6, 15, 28, 27, 30, 10, 4, 8, 18, 13, 25, 12, 24, 16, 3, 21, 14, 5, 20, 17, 22, 11, 29, 1}",4.349609,"{1, 9, 23, 26, 7, 2, 19, 6, 15, 28, 27, 30, 10, 8, 18, 4, 22, 17, 20, 13, 25, 12, 5, 24, 16, 14, 3, 21, 29, 11, 1}",4.452093,0.023562,0.060546
"{1, 10, 22, 12, 8, 27, 14, 25, 29, 7, 15, 6, 24, 18, 3, 13, 4, 17, 2, 30, 26, 20, 19, 16, 11, 5, 21, 23, 9, 28, 1}",4.757735,"{1, 10, 2, 17, 4, 30, 26, 11, 16, 19, 20, 3, 13, 18, 24, 6, 15, 7, 25, 14, 29, 27, 8, 12, 22, 28, 9, 21, 5, 23, 1}",4.899069,0.029706,0.059305
"{1, 25, 27, 20, 16, 17, 6, 23, 30, 12, 26, 29, 24, 5, 13, 11, 8, 2, 22, 28, 15, 18, 9, 21, 3, 4, 14, 10, 7, 19, 1}",4.608700,"{1, 19, 10, 14, 4, 3, 21, 9, 18, 15, 2, 22, 28, 13, 5, 24, 29, 26, 12, 11, 8, 7, 30, 23, 25, 6, 17, 16, 27, 20, 1}",4.763544,0.033598,0.059641
"{1, 19, 26, 24, 20, 28, 8, 5, 12, 29, 3, 15, 14, 22, 9, 30, 10, 21, 13, 23, 4, 16, 7, 18, 6, 2, 25, 27, 17, 11, 1}",4.607524,"{1, 11, 17, 27, 25, 2, 24, 20, 6, 18, 16, 4, 7, 23, 13, 21, 10, 30, 9, 22, 14, 15, 3, 29, 12, 28, 8, 5, 26, 19, 1}",4.705105,0.021178,0.060662
"{1, 12, 13, 16, 30, 2, 20, 18, 27, 29, 19, 28, 11, 26, 8, 22, 10, 3, 23, 5, 6, 15, 9, 21, 24, 25, 4, 17, 7, 14, 1}",3.668962,"{1, 12, 13, 16, 30, 2, 20, 18, 27, 26, 8, 22, 10, 3, 11, 29, 19, 28, 23, 5, 6, 15, 9, 21, 17, 4, 25, 24, 14, 7, 1}",3.842388,0.047268,0.060638
"{1, 14, 26, 3, 29, 9, 27, 28, 6, 13, 12, 24, 19, 4, 2, 20, 30, 25, 7, 23, 8, 22, 15, 5, 21, 11, 10, 18, 17, 16, 1}",4.800034,"{1, 27, 9, 28, 21, 5, 15, 22, 8, 23, 7, 25, 30, 20, 2, 4, 19, 24, 12, 13, 6, 3, 29, 26, 14, 17, 18, 10, 11, 16, 1}",5.390698,0.123054,0.061861
"{1, 7, 21, 16, 13, 23, 29, 3, 27, 9, 4, 25, 2, 14, 10, 30, 6, 18, 24, 8, 26, 17, 28, 20, 22, 11, 15, 12, 19, 5, 1}",4.394509,"{1, 25, 2, 4, 13, 16, 21, 23, 29, 3, 27, 9, 14, 10, 18, 30, 6, 24, 8, 26, 17, 28, 20, 22, 11, 15, 19, 5, 12, 7, 1}",4.789436,0.089868,0.059360
"{1, 6, 28, 17, 19, 24, 29, 7, 5, 20, 11, 8, 18, 21, 10, 15, 9, 22, 4, 12, 2, 14, 25, 30, 16, 13, 27, 23, 26, 3, 1}",4.625886,"{1, 3, 26, 23, 27, 13, 16, 30, 25, 14, 2, 12, 4, 22, 9, 10, 21, 20, 11, 18, 8, 7, 5, 15, 29, 24, 19, 17, 28, 6, 1}",4.779167,0.033135,0.058890
