optimal_tour,optimal_tour_length,threshold_accepting_tour,threshold_accepting_tour_length,score,time
"{1, 23, 14, 13, 24, 25, 18, 12, 8, 30, 17, 4, 15, 29, 5, 10, 27, 11, 26, 3, 21, 28, 6, 2, 19, 22, 16, 7, 9, 20, 1}",4.473870,"{1, 20, 7, 16, 22, 19, 6, 2, 21, 28, 9, 15, 29, 11, 3, 26, 27, 10, 5, 4, 17, 30, 8, 12, 18, 25, 24, 13, 14, 23, 1}",4.733759,0.058090,0.060099
"{1, 29, 4, 28, 2, 11, 17, 22, 5, 27, 10, 25, 14, 18, 3, 7, 23, 6, 9, 16, 8, 26, 21, 24, 15, 20, 30, 13, 12, 19, 1}",4.470979,"{1, 29, 4, 28, 2, 11, 17, 22, 5, 27, 10, 25, 14, 18, 3, 7, 23, 9, 6, 16, 8, 26, 21, 24, 15, 20, 12, 30, 13, 19, 1}",4.505327,0.007683,0.061085
"{1, 8, 11, 28, 4, 22, 17, 5, 9, 15, 27, 16, 20, 7, 29, 18, 12, 23, 19, 24, 10, 21, 25, 14, 3, 30, 13, 2, 6, 26, 1}",4.241726,"{1, 26, 6, 2, 13, 30, 3, 14, 25, 24, 21, 10, 23, 19, 16, 27, 20, 7, 29, 12, 18, 15, 9, 5, 17, 22, 4, 28, 11, 8, 1}",4.408939,0.039421,0.057136
"{1, 3, 24, 25, 17, 4, 5, 26, 2, 7, 8, 18, 28, 14, 10, 21, 22, 19, 30, 20, 9, 13, 11, 29, 12, 15, 6, 27, 16, 23, 1}",4.863501,"{1, 23, 16, 27, 6, 15, 12, 29, 11, 20, 19, 22, 21, 10, 14, 8, 7, 2, 26, 5, 4, 17, 24, 25, 18, 28, 30, 9, 13, 3, 1}",5.041177,0.036533,0.057396
"{1, 24, 6, 18, 4, 17, 5, 15, 30, 27, 25, 11, 21, 20, 3, 7, 14, 29, 8, 9, 13, 23, 2, 16, 10, 19, 12, 22, 26, 28, 1}",4.387277,"{1, 24, 6, 18, 4, 17, 5, 15, 30, 27, 25, 11, 21, 20, 3, 7, 14, 29, 8, 9, 13, 23, 2, 16, 10, 19, 12, 22, 26, 28, 1}",4.387277,0.000000,0.057571
"{1, 16, 4, 26, 10, 24, 11, 5, 7, 17, 15, 21, 14, 25, 18, 9, 22, 6, 13, 30, 12, 29, 27, 2, 20, 23, 19, 8, 28, 3, 1}",4.370493,"{1, 16, 4, 26, 10, 24, 11, 5, 7, 21, 15, 17, 6, 13, 30, 12, 29, 27, 22, 25, 14, 18, 9, 20, 2, 23, 19, 8, 28, 3, 1}",4.410852,0.009234,0.055600
"{1, 6, 12, 26, 22, 9, 25, 21, 29, 13, 5, 18, 14, 8, 19, 16, 7, 15, 3, 4, 27, 30, 17, 20, 10, 24, 28, 23, 2, 11, 1}",4.556080,"{1, 15, 7, 12, 26, 6, 9, 22, 25, 21, 29, 13, 5, 18, 14, 8, 16, 19, 3, 4, 27, 30, 17, 20, 10, 24, 28, 23, 2, 11, 1}",4.847200,0.063897,0.055814
"{1, 28, 11, 13, 27, 5, 16, 25, 9, 10, 8, 15, 20, 12, 3, 17, 14, 7, 2, 21, 26, 23, 18, 4, 19, 22, 24, 29, 6, 30, 1}",4.651166,"{1, 30, 6, 29, 24, 22, 19, 4, 18, 23, 26, 21, 2, 7, 14, 17, 3, 12, 20, 15, 8, 10, 9, 25, 16, 5, 27, 13, 11, 28, 1}",4.651166,0.000000,0.055696
"{1, 23, 13, 22, 25, 18, 9, 3, 7, 26, 14, 20, 19, 24, 11, 5, 30, 2, 8, 29, 6, 16, 4, 12, 27, 10, 17, 15, 21, 28, 1}",4.691166,"{1, 13, 22, 23, 6, 16, 12, 4, 24, 11, 29, 8, 5, 30, 2, 25, 18, 9, 3, 7, 26, 14, 20, 19, 27, 10, 17, 15, 21, 28, 1}",4.906539,0.045910,0.058805
"{1, 27, 13, 16, 3, 29, 21, 8, 4, 5, 23, 9, 15, 24, 28, 20, 12, 25, 2, 18, 30, 10, 11, 19, 26, 22, 14, 17, 7, 6, 1}",4.396293,"{1, 6, 7, 17, 14, 22, 19, 11, 10, 30, 18, 26, 2, 25, 12, 20, 28, 24, 15, 9, 23, 5, 4, 8, 21, 29, 3, 16, 13, 27, 1}",4.517598,0.027593,0.058712
